Epoch,Train/Loss,Train_Metrics/Accuracy_Top1,Train_Metrics/Accuracy_Top5,Val/Loss,Val_Metrics/Accuracy_Top1,Val_Metrics/Accuracy_Top5,LR/Pg0,LR/Pg1,LR/Pg2
1,3.155395746231079,0.1272337383845604,0.3984989278055754,2.723591607809067,0.1868566904196358,0.5146476642913698,0.001,0.001,0.001
2,2.3952657999311175,0.278770550393138,0.6695854181558256,2.1666557282209395,0.3586698337292161,0.7403008709422011,0.001,0.001,0.001
3,2.1145658472606113,0.3588277340957827,0.7539313795568263,2.0270270824432375,0.3832145684877276,0.7743467933491687,0.001,0.001,0.001
4,1.9330449444907052,0.4045746962115797,0.8002144388849178,1.9548489719629287,0.38638163103721296,0.78701504354711,0.001,0.001,0.001
5,1.7606676367350986,0.4683702644746247,0.8370264474624732,1.9758599549531937,0.393507521773555,0.7957244655581948,0.001,0.001,0.001
6,1.6027082415989466,0.5005360972122945,0.8674052894924946,1.9179161757230758,0.41488519398258117,0.7988915281076802,0.001,0.001,0.001
7,1.5280455044337682,0.5160829163688349,0.8786633309506791,1.8803199142217637,0.45209817893903403,0.8044338875692795,0.001,0.001,0.001
8,1.372805792263576,0.57987848463188,0.9052894924946391,2.0244529455900193,0.4140934283452098,0.8115597783056215,0.001,0.001,0.001
9,1.2683194957460675,0.5988205861329521,0.9133309506790565,2.1206566601991654,0.38954869358669836,0.7814726840855107,0.001,0.001,0.001
10,1.10404844386237,0.6447462473195139,0.9387062187276626,2.1106607019901276,0.4093428345209818,0.8028503562945368,0.001,0.001,0.001
11,0.9725062780720847,0.6928162973552537,0.9538956397426733,2.1705860614776613,0.3998416468725257,0.7996832937450514,0.001,0.001,0.001
12,0.8518611521380288,0.7251608291636884,0.9678341672623302,2.0396512717008592,0.43942992874109266,0.8107680126682502,0.001,0.001,0.001
